finding_id,source,epic_or_package,requirement_ids,severity,status,file_refs,description,proving_test
QMX-F011,lane-L6,E21 qmb/optimize,R10;CT-01;21.2-AC4;FR-001,high,CONFIRMED,"qmb/src/qmb/optimize/objective.py:200-217,224-234","StudyObjective stores target_currency and target_unit_kind, then meets_target compares bare Fraction magnitudes (magnitude >= self.target_value) with no currency or unit-kind guard, on the path called from _place_trial. A target declared in a different currency than the objective measure silently early-stops a Study. CT-01 and qmf-core exact.py:33-35 both require a typed refusal on a cross-kind operand.",qa/tests/epic_21 T21-PIN-01 (already FAILING)
QMX-F012,lane-L6,E22 qmb/robustness,T22-PIN-01;CT-04;DEC-0109;22.1-AC2;P0-assertion-3,high,CONFIRMED,"qmb/src/qmb/robustness/carveout.py:137,192; qmb/src/qmb/robustness/significance.py:414","carve_return_statistic and carve_return_ratio both coerce number = float(value) BEFORE the math.isfinite guard, on a value validated only as isinstance(value, (int, float)). int is unbounded, so float(10**400) raises OverflowError across two public boundaries. The L6 enumeration found a third uncovered site: next_bar_log_returns at significance.py:414 does math.log(float(ratio)) over a Fraction built from two legally-constructed Price closes, on the P0 anti-look-ahead return series.",qa/tests/epic_22 T22-PIN-01 (already FAILING) + TO-BE-WRITTEN for significance.py:414
QMX-F013,lane-L6,E23 qmb/data,23.1-AC3;R-007;DEC-0105;CT-10;AR-15;AD-7;AD-22,high,CONFIRMED,"qmb/src/qmb/data/generate.py:1108,1166,1206,1260-1281,1445-1446","_coerce_source_bars reads the source row declared scale into SyntheticBar.scale and it is then never consulted: every draw adapter divides by float(10**config.scale) and the only float-to-integer money boundary, _FloatToScaledInt, is constructed with scale=config.scale. A source declared at scale 3 is reinterpreted at scale 5 with no conversion and no refusal, breaking DEC-0105 (never a silent rescale) and 23.1-AC3 tick-size quantization.",qa/tests/epic_23 T23-PIN-02 (already FAILING; tighten to the exact 10^(target-source) factor before it is used as a lock)
QMX-F014,lane-L6,E19 qmb/results,R18;AC19.4;R-RPT-11;R-RPT-12;CT-32;DEC-0163,high,CONFIRMED,qmb/src/qmb/results/ct32.py:174; packages/qmf-risk/src/qmf/risk/performance.py:510-549; qmb/src/qmb/results/charts.py,Chart series are never emitted in the artifact. The CT-32 PerformanceResult container has no chart-series and no trade-event-reference field (the two declared QMB extensions); assemble_v1_chart_set has no caller in the run or assembly path; assemble_run_performance_result writes results/ct-32.json and nothing else; render.py and interpret.py contain zero references to chart or series. An agent obeying read-the-artifact-never-a-rendering can never obtain chart data.,TO-BE-WRITTEN qa/tests/epic_19::a stored artifact carries a machine-readable series
QMX-F015,lane-L6,E17 qmb/execution,17.1-AC1;17.4-AC2;17.5-AC4;R18;R29;AR-56,high,CONFIRMED,qmb/src/qmb/execution/handler.py; qmb/src/qmb/execution/ports.py:1024; qmb/src/qmb/runloop/loop.py:600,"Two disjoint execution paths exist. apply_execution_ports / BoundExecution.execute composes fill then slippage then cost correctly and is called nowhere in qmb/runloop/. ExecutionSliceHandler is the SliceHandler the six sub-phases actually drive and its constructor takes fill and slippage ONLY: no CostPort field, no itemize call, no cost token anywhere in the file. On a real run no commission is itemized, 17.4-AC2 has no producer, and 17.5-AC4 four-line cost-drag decomposition can never be assembled from live output.",TO-BE-WRITTEN qa/tests/epic_17::drive ExecutionSliceHandler for one slice with RecordingFill/RecordingSlippage/RecordingCost and assert the cost recorder saw the post-slip fill
QMX-F016,lane-L6,E16 qmb/doors + E23,16.5-AC1;16.5-AC2;FR-046;R18;R19;R-006,high,CONFIRMED,"qmb/src/qmb/doors/cli/tree.py:31,36,511-512; qmb/src/qmb/__init__.py __all__; qmb/src/qmb/doors/parity.py:40","The CLI door imports has_generator_config and qmb.data.generate and calls both in invoke_data; neither is in qmb.__all__ (1088 names) and the API door re-exports only qmb.__all__. The parity catalog masks the asymmetry: the data.generate row is (""DATA_COMMANDS"", ""data_front_identity"") and omits the library-function element every sibling row carries, so capability_gaps has nothing to compare and reports clean. Lane rows E16-F02 and E23-F01 are one defect; merged, owner Epic 16.",qa/tests/epic_16 T-16.5-gap (already FAILING) + qa/tests/epic_23 T23-PIN-01
QMX-F017,lane-L6,E16 qmb/doors,16.5-AC1;R18;R-006;AR-58,high,CONFIRMED,qmb/src/qmb/doors/parity.py; qmb/tests/test_door_parity.py,"The shipped door-parity contract reconciles the CLI and Python surfaces THROUGH a hand-maintained 15-entry CAPABILITY_LIBRARY MappingProxyType literal rather than deriving both sides from the door surfaces, so the tier-2 gate is green over a live surface asymmetry (F016). Note the authority: the forbidding clause is the brief risk gate R-006, not an epics.md FR; R-006 must not be read as FR-006, which epics.md assigns to Epic 2.","qa/tests/epic_16 T-16.5-a (derived reconciler, already exists) + operator ruling on R-006 authority"
QMX-F018,scanner + lane-L6,E18 qmb/data,FIND-001;RQ-CLOCK;RQ2;FR-002;CT-02;AR-16;DEC-0106,high,CONFIRMED,"qmb/src/qmb/data/download.py:127,150,124","download.py:127 reads datetime.now(timezone.utc) below the composition root, and parse_download_request calls resolve_end_ns without a now= argument, so end-defaults-to-today tracks the real wall clock with no injection path. Confirmed independently by the machine battery: ambient-scan FAIL exit 1 at download.py:127:24. Note the finding stands on DEC-0106; the AR-16 id cited by the lane does not exist anywhere in the worktree.",qa/tests/epic_18 (already FAILING) + tools ambient-scan inside poe check
QMX-F019,lane-L6,E1 qmf-core / qmf-data,CT-05;DEC-0108;FR-005;RG-DEPGRAPH;AR-14,high,CONFIRMED,"packages/qmf-data/src/qmf/data/backup.py:932-935; packages/qmf-data/src/qmf/data/store/backup_input.py:70-72,197","Two qmf-data modules hand-roll hashlib.sha256(payload).hexdigest() and emit f""fp1:sha256:{digest}"" directly, duplicating qmf-core private _fingerprint_of_bytes recipe. CT-05 states one implementation lives only in qmf-core and no other package computes a fingerprint except by calling it. Read the row as AT LEAST two duplicates: the detector requires both hashlib.sha256( and a literal f-string in one file and skips tests/ and examples/, so concatenated or helper-routed offenders are invisible.",qa/tests/epic_01 test_e1_i03_single_fp1_implementation_only_in_qmf_core (already FAILING; widen the detector)
QMX-F020,lane-L6,E8 qmf-venue,R-002;P0-assertion-3;CT-04;AR-13;SCN-0005,high,CONFIRMED,packages/qmf-venue/src/qmf/venue (observation_journal_event_type),"observation_journal_event_type is exported in qmf.venue.__all__ and raises ValueError on a non-ObservationKind. The lane found the raise, confirmed it, and demoted it to a RESULTS observation by narrowing L1-001 CALLABLES after the behaviour was known. R-002 as stated is unqualified: no public callable raises.",TO-BE-WRITTEN qa/tests/epic_08::enumerate qmf.venue.__all__ programmatically instead of a 47-lambda hand list
QMX-F021,lane-L6,E11 qml,11.1-AC4;AD-15;DEC-0171,high,CONFIRMED,qml/src/qml/host/runner.py; qml/src/qml/host/worker.py; qml/src/qml/host/__init__.py,"qml/host/ ships inside the qml wheel and imports subprocess, os, tempfile, json, uuid and calls open(); its own package docstring concedes it is impure and owns stdlib process spawning and isolation. AD-15 makes the qml library pure (no threads, no I/O, no process spawning) and the ratified Hosting seed places the conformance sandbox runner at QMB composition root, not inside the qml distribution. Lane severity medium is under-rated.",qa/tests/epic_11 (already FAILING)
QMX-F022,lane-L6,E18 qmb/data,18.3-AC1;18.3-AC2;18.3-AC4;18.1-AC5;RQ11;RQ18;RQ19;RQ21;R-011,high,CONFIRMED,"qmb/src/qmb/data/download.py:346-360; qmb/src/qmb/data/catalog.py:138-164,168-189,307-334","qmb data list answers entirely from a qmb-authored qmb-data-coverage envelope row that download mints from the REQUEST. list_data reads back only rows whose kind == COVERAGE_KIND and never reads, counts or inspects a single CT-10 observation. Coverage window, per-side presence, observation count, provenance, licence tag and revision are the download request round-tripping through a summary row qmb wrote itself. Those coverage rows ARE the authoritative second store 18.3-AC2 forbids; side presence can never diverge from what the operator asked for; the licence tag rides the envelope rather than the CT-10 observation R-011 names. Four green tests read that row back and call it evidence.",TO-BE-WRITTEN qa/tests/epic_18::re-derive list_data coverage from the CT-10 observations and re-run RQ11/RQ18/RQ19/RQ21
QMX-F109,lane-L6,E8 qmf-venue / E1 qmf-core,FR-025;CT-21;AD-9;L34;DEC-0136;DEC-0140,medium,CONFIRMED,packages/qmf-core/src/qmf/core/secret.py (SecretRef.try_create); packages/qmf-venue/src/qmf/venue (AccountBinding.try_create),"CT-21 states verbatim that a secret reference is an opaque minted id, stable, never reused, NEVER ENCODING venue, broker, account, environment or key material, and that CONSTRUCTION VALIDATES OPACITY AS AN INVALID-INPUT REFUSAL. SecretRef.try_create enforces ZERO opacity checks - the contract construction-time gate is absent rather than imperfect. Four independent authorities restate the clause with no hedge (the CT-21 invariant, the schema field line, docs/glossary.md, docs/components/qmf-core.md, docs/lenses/security/security-model.md). Two qualifications from L6: the defective type is qmf.core.SecretRef so the repair belongs to qmf-core with qmf-venue as the affected consumer, and ""encodes account data"" is not fully decidable so the gate should refuse the decidable forms (embedded venue/account/environment tokens, non-minted shapes).",qa/tests/epic_08 test_l2_019 family (already FAILING)
QMX-F023,lane-L6,E8 qmf-venue + E10 qmf-risk,NFR-11;R-009;AR-21;epics.md:475,medium,CONFIRMED,packages/qmf-venue/ ; packages/qmf-risk/,"Neither qmf-venue nor qmf-risk ships a FAILURES.md failure register. qmf-core, qmf-data, qmf-indicators, qmf-registry and qmf-structure each ship one. NFR-11 register convention is declared a tier-1 artifact obligation on every subsequent story in epics.md, so the obligation binds both packages. Sibling parity is 5 of 7, not 5 of 6 as the E8 row implies.",qa/tests/epic_08 (already FAILING for qmf-venue) + TO-BE-WRITTEN for qmf-risk
QMX-F024,lane-L6,E22 qmb,T22-PIN-02;NFR-11;L27;22.1-AC5;22.3-AC3;22.4-AC5,medium,CONFIRMED,qmb/FAILURES.md,"qmb/FAILURES.md is 765 lines and covers Stories 14-19 only; it carries no NFR-11 entry for any Epic-22 designed failure mode. Instrument caveat: the shipped gate is a keyword-substring proxy while the plan promised a six-field check (class, detection, recovery semantics, degraded state, notification tier, product-user affordance) - strengthen the test or restate its expected column.",qa/tests/epic_22 T22-PIN-02 (already FAILING)
QMX-F025,lane-L6,E8 qmf-venue,AR-21;L27;DEC-0096,medium,CONFIRMED,packages/qmf-venue/,qmf-venue ships no examples/ directory; all six sibling roster packages do. AR-21 and constitution L27 require every package to ship executable tests AND reference-usage examples as tier-1 artifacts. qmf-venue is the only package missing both artifacts.,qa/tests/epic_08 (already FAILING)
QMX-F026,lane-L6,E1 qmf-core,CT-03:22;DEC-0103;FR-003;AR-25,medium,CONFIRMED,packages/qmf-core/src/qmf/core/identity.py,"identity.py defines no CONTRACT_FORMAT_VERSION and no fp1_identity (0 matches, versus 5 in chrono.py, 6 in exact.py, 2 in fingerprint.py), so a CT-03 identity artifact carries neither a contract format version nor an identity projection and cannot stamp the versioning-from-birth version its own ratified contract requires. Test E1-C11 excludes CT-03 from the stamp check by docstring, deferring it to a qmf-registry record - which DEC-0138 forbids as the identity source. The lane findings.csv under-reports by this one row.",TO-BE-WRITTEN qa/tests/epic_01::un-narrow E1-C11 to include CT-03 artifacts (it will fail; that is the point)
QMX-F027,lane-L6,E5 qmf-data-backup,FR-014;CT-14;5.1-AC4;5.2-AC1;R-007;FM-2;DEC-0109,medium,CONFIRMED,"packages/qmf-data/src/qmf/data/backup.py:299-308,401-410,938-944; packages/qmf-core/src/qmf/core/sinks.py:180-185; packages/qmf-data/src/qmf/data/store/refusals.py:35,73","OffMachineBackup.copy_export and OffMachineRestore.restore_copy build remapped = dict(put.context) and hand it to qmf.core.unpersistable, which RAISES ValueError when the context contains the reserved key ""reason"". Both refusal builders this project ships set context[""reason""] unconditionally, so any adapter refusal built the project own way trips it and the boundary raises instead of returning. Two call sites, one root; lane rows E5-F01 and E5-F02 merged.",qa/tests/epic_05 (both already FAILING)
QMX-F028,lane-L6,E11 qml,11.4-AC5;CT-33,medium,CONFIRMED,"qml/src/qml/footprint/manifest.py:241-266,268-300,593","Footprint.try_create collects **rejected, refuses FORBIDDEN_HORIZON_FIELDS then refuses any remaining extra top-level field. Footprint.try_from_mapping checks only FORBIDDEN_HORIZON_FIELDS and stream_set presence, reads exactly three keys and silently drops everything else. The asymmetry is reachable: report_completeness routes any non-Footprint input through the permissive path.",qa/tests/epic_11 (already FAILING)
QMX-F029,lane-L6,E17 qmb/execution,17.1-AC4;R8,medium,CONFIRMED,qmb/src/qmb/execution/ports.py:93,"COMPOSITION_VERSION is Final[int] = 1, never recomputed, and BoundExecution.composition_version defaults to it. AC4 states composition-version changes whenever the bound port set or its order changes so identity never silently drifts. The lane substituted a passing fp1_identity surrogate and filed the real gap as UNPROVEN (E17-F04); L6 re-adjudicated it as a genuine violation with a constructible failing test.",TO-BE-WRITTEN qa/tests/epic_17::bind(cost=zero).composition_version != bind(cost=percent-of-notional).composition_version
QMX-F030,lane-L6,E17 qmb/execution,17.3-AC6;R23,medium,CONFIRMED,qmb/src/qmb/execution/slippage.py:285,"slip_fill does `del seed` and all five V1 slippage models are deterministic, so AC6 clause ""any stochastic term draws from a per-run seed so replay reproduces the same draw"" has no implementation at all. Lane row E17-F07 recorded it as UNPROVEN, which is right for testability but leaves R23 counted green. Needs an operator ruling: implement or strike the clause.",TO-BE-WRITTEN (blocked on operator ruling OR-11)
QMX-F031,lane-L6,E19 qmb/results,R13;AC19.2;R-RPT-10;DEC-0162,medium,CONFIRMED,packages/qmf-risk/src/qmf/risk/performance.py (FORBIDDEN_COMPOSITE_EXPRESSIONS); qmb/src/qmb/results/measures.py (emit_measure),"FORBIDDEN_COMPOSITE_EXPRESSIONS has no ""grade"" token and its weighted-* members are hyphenated, so they substring-match only hyphenated identities. grade, overall_grade, letter_grade and weighted_aggregate all pass the guard through the exported Epic-19 surface emit_measure, so a composite score is mintable and storable. The shipped 27-name roster is clean today, which is why severity is medium.",qa/tests/epic_19 (already FAILING; doubles as the regression pin)
QMX-F032,lane-L6,E19 qmb/results,R17;AC19.3;R-RPT-8;AR-13;AD-36;DEC-0150,medium,CONFIRMED,qmb/src/qmb/results/accounting.py:127-139 and _suppression_key,"Only an ABSENT door token refuses; an unrostered door string is silently bucketed into a brand-new tally key outside the ratified VETO_DOOR_IDENTITIES spine roster - exactly the silent bucketing the module own refusal message disclaims. _suppression_key has the same hole for reason classes: any non-empty reason string becomes a new key. The sibling _resolve_authority DOES close its vocabulary and refuse, which is the shape both should follow.",TO-BE-WRITTEN qa/tests/epic_19::an unrostered refusing_door and an unrostered reason_class are typed refusals
QMX-F033,lane-L6,E7 qmf-indicators,R5;AR-06;AR-18;7.1-AC,medium,CONFIRMED,packages/qmf-indicators/src/qmf/indicators/batch.py:374; packages/qmf-indicators/pyproject.toml,"batch.py calls importlib.import_module(""numpy"") unguarded on the main compute path (a ModuleNotFoundError there would raise, not return a CT-04 refusal), while pyproject declares dependencies = [""qmf-core"", ""ta-lib==0.7.1""]. numpy is not declared and arrives only transitively via ta-lib in uv.lock. AR-06 default-deny requires every dependency declared in the package own pyproject. The suite cannot see it: the S1 scanner filters root.split(""."")[0] == ""qmf"" so it is structurally incapable of seeing a non-qmf undeclared import, and an AST-root scan sees no dynamic import at all.",TO-BE-WRITTEN qa/tests/epic_07::enumerate reached third-party roots (static + importlib) against declared dependencies
QMX-F034,lane-L6,E18 qmb/data,18.1-AC5;RQ10,medium,CONFIRMED,qmb/src/qmb/data/download.py:369,"Every emitted progress sample hard-codes eta_ns=None; AC5 requires progress to carry percent, date-reached AND ETA. The clause was dropped with no UNPROVEN row, and the deferral row E18-U04 defers the supervising-agent transport half (fairly Epic 15/16) while the broken Epic-18 half goes unrecorded.",TO-BE-WRITTEN qa/tests/epic_18::assert eta_ns on RQ10 progress samples
QMX-F035,lane-L6,E11 qml,11.1-AC2;DEC-0184,low,CONFIRMED,"qml/src/qml (host/, logic/)","src/qml ships module homes beyond the seven AC2 names exactly: the src homes are conformance, declaration, families, footprint, host, logic, protocol. logic/ is the Story-11.3 logic home the AC seed list omitted; host/ is the substantive half and shares a root cause with F021. Reads as a defect in the AC text rather than in the code - wants an operator ruling, not a code change.",qa/tests/epic_11 (already FAILING; blocked on operator ruling OR-04)
QMX-F036,scanner,cross-cutting process,FIND-002;NFR-02;AR-11;AR-23;AR-24;FR-001;FR-002,high,CONFIRMED,root pyproject.toml [tool.poe.tasks.check]; factory merge-gate configuration,"The factory merge gate ran ruff, pyright and pytest only; the tier-1 scanners that ride poe check (money-path-scan, ambient-scan, mock-data-scan, secret-scan) were not enforced in the lanes that shipped epics 4 and later. FIND-001 (QMX-F018) is exactly what that let through. NFR-02 exists to make FR-001 and FR-002 mechanically enforced rather than review-dependent, and the mechanism was not wired into the gate that ships code.",TO-BE-WRITTEN CI assertion: the merge gate invokes poe check in full and fails on a nonzero scanner exit
QMX-F037,lane-L6,cross-cutting process,GAP-QA-01;process/traceability,medium,CONFIRMED,_bmad-output/test-artifacts/ (absent from the qa worktree),"test-design-qa.md and test-design/QMX-handoff.md are absent from the verification worktree; 12 of 23 lanes independently confirmed it (E2, E3, E4, E5, E6, E7, E9, E11, E12, E13, E15, E16, E18, E20, E21, E23 all recorded it). Every lane therefore reconstructed the L0-L6 taxonomy, the 15 P0/P1 assertions and its own risk-gate ids from the task brief, so all per-lane P0/P1 labelling is self-assigned rather than read from the authority. This consolidation reconciles against the real handoff for the first time.",TO-BE-WRITTEN process gate: a lane fails when a named authority file is missing from its worktree
QMX-F038,battery-skylos,cross-cutting quality,quality-ratchet;NFR-04;AD-13,medium,CONFIRMED,"packages/qmf-risk/src/qmf/risk/control_action.py:647,1486; qmb/src/qmb/data/download.py:200; qmb/src/qmb/data/verify.py:292; qmb/src/qmb/config/compiler.py:291,475; qmb/src/qmb/results/charts.py:863 (+19 more)","Skylos run 33039677890 over 650 files / 200886 LOC: overall grade C+ (77) with quality scored 8 / F. 4084 quality findings - 25 CRITICAL (21 SKY-Q301 cyclomatic complexity to 38, 4 SKY-Q306 cognitive complexity to 64), 361 HIGH, 165 WARN, 1252 MEDIUM, 2281 LOW. Every danger bucket is clean: security A+, secrets A+, ai_defects A+, dependency_vulnerabilities 0, ai_authored 2 of 4163. Hot files: orchestrator/spawn.py 55, data/generate.py 51, execution/ports.py 46, risk/control_action.py 44, data/verify.py 44.","n/a - gate threshold, see fix card FC-33 (ratchet policy)"
QMX-F039,intersection,cross-cutting dead code,dead-code,low,CONFIRMED,"tools/workspace_meta.py:35,36; packages/qmf-core/src/qmf/core/secret.py:198,219; packages/qmf-registry/src/qmf/registry/persistence.py:402; packages/qmf-core/tests/test_sinks.py:165","79 Skylos dead-code findings, all in product code, of which 75 are unused_parameters - overwhelmingly Protocol method signatures where an unused parameter is correct. The 3-way intersection (Skylos x vulture x never-executed coverage) is EMPTY: 0 THREE_WAY, 2 TWO_WAY_VULTURE, 0 TWO_WAY_COVERAGE, 77 SKYLOS_ONLY. Only about 6 trivial items survive any corroboration. No dead-code campaign is warranted beyond deleting those.",n/a
QMX-F040,battery-mutmut,E1 qmf-core,CT-01;DEC-0158;AR-20,medium,CONFIRMED,packages/qmf-core/src/qmf/core/exact.py:304 (_round_fraction_to_int),"Mutation survivor: `return ceil_value if value < 0 else floor_value` mutated to `value <= 0` and to `value < 1` survives in both rounding branches. The zero boundary of money-path rounding is unpinned - a rounding-mode implementation that treats exactly-zero as negative passes the suite. E1-U24 walks every rounding mode at <0, =0, >0 but does not discriminate the boundary predicate itself.",TO-BE-WRITTEN qa/tests/epic_01::pin _round_fraction_to_int at value == 0 for every rounding mode
QMX-F041,battery-mutmut,E1 qmf-core,CT-02;AR-20;DEC-0101,low,CONFIRMED,packages/qmf-core/src/qmf/core/chrono.py:171 (_checked_int64),"Mutation survivor: `if value < _INT64_MIN or value > _INT64_MAX` mutated to `<=` and to `>=` both survive. E1-U30 pins INT64_MIN/MAX acceptance for exact.py but the chrono int64 guard has no exact-edge test, so an off-by-one at either bound is invisible.",TO-BE-WRITTEN qa/tests/epic_01::assert chrono accepts INT64_MIN and INT64_MAX and refuses +/-1
QMX-F042,battery-mutmut,E1 qmf-core,CT-02;CT-04;AR-20,low,CONFIRMED,"packages/qmf-core/src/qmf/core/chrono.py:756,764 (DataDrivenClock.wall_now / monotonic_now)",Mutation survivors: `>= len(self._wall)` to `> len(...)` and `self._wall_cursor += 1` to `= 1` both survive on both methods. The exhaustion boundary and the cursor advance are unpinned. E1-U41 pins the exact English exhaustion message instead - the thing PLAN section 5 declared not ratified surface - while leaving the boundary predicate free. Ties to operator ruling OR-03 (raise vs typed refusal).,"TO-BE-WRITTEN qa/tests/epic_01::assert the boundary at len(script), not the message prose"
QMX-F043,battery-mutmut,E1 qmf-core,CT-03;CT-01;AR-20,low,CONFIRMED,packages/qmf-core/src/qmf/core/exact.py:251 (_require_instrument),"Mutation survivor: `value.symbol.strip() != """"` mutated to `!= ""XXXX""` survives, as does the venue twin. Instrument emptiness is never pinned, so a guard that accepts a whitespace-only or empty symbol passes. Overall exact.py/chrono.py kill rate is 68 percent; the remaining survivors are string-literal noise on unratified message prose.",TO-BE-WRITTEN qa/tests/epic_01::an empty or whitespace-only instrument symbol refuses
QMX-F044,battery-coverage,cross-cutting,AR-20;DEC-0101,medium,CONFIRMED,"qml (branch 65.96 pct, line 80.8); qmb (branch 66.46 pct, line 83.22); qmf-core (branch 98.38 pct)",AR-20 sets a 100 percent branch floor on exact.py and chrono.py and 80 percent on every other module. qml and qmb sit roughly 14 points below the 80 percent branch floor. qmf-core is at 98.38 percent branch against a 100 percent floor for its two named modules. No lane measured or reported coverage against the floor; several PLAN exit criteria that cite AR-20 are therefore unevidenced.,n/a - measurement gate
